x,y1,y2
0.803,-0.02814,0.286106
0.804,-0.029735,0.285897
0.805,-0.031331,0.285683
0.806,-0.032926,0.285466
0.807,-0.03452,0.285244
0.808,-0.036114,0.285019
0.809,-0.037707,0.28479
0.81,-0.039299,0.284557
0.811,-0.040891,0.284321
0.812,-0.042483,0.28408
0.813,-0.044073,0.283836
0.814,-0.045663,0.283587
0.815,-0.047252,0.283335
0.816,-0.048841,0.283079
0.817,-0.050428,0.282819
0.818,-0.052015,0.282555
0.819,-0.053601,0.282288
0.82,-0.055186,0.282016
0.821,-0.056771,0.281741
0.822,-0.058354,0.281461
0.823,-0.059936,0.281178
0.824,-0.061518,0.280891
0.825,-0.063098,0.2806
0.826,-0.064678,0.280306
0.827,-0.066256,0.280007
0.828,-0.067834,0.279705
0.829,-0.06941,0.279399
0.83,-0.070985,0.279088
0.831,-0.072559,0.278774
0.832,-0.074132,0.278457
0.833,-0.075704,0.278135
0.834,-0.077274,0.277809
0.835,-0.078843,0.27748
0.836,-0.080411,0.277147
0.837,-0.081978,0.27681
0.838,-0.083543,0.276469
0.839,-0.085107,0.276124
0.84,-0.08667,0.275775
0.841,-0.088231,0.275423
0.842,-0.089791,0.275067
0.843,-0.09135,0.274707
0.844,-0.092907,0.274343
0.845,-0.094462,0.273975
0.846,-0.096016,0.273604
0.847,-0.097569,0.273228
0.848,-0.099119,0.272849
0.849,-0.100669,0.272466
0.85,-0.102216,0.272079
0.851,-0.103762,0.271689
0.852,-0.105307,0.271294
0.853,-0.10685,0.270896
0.854,-0.108391,0.270494
0.855,-0.10993,0.270088
0.856,-0.111467,0.269678
0.857,-0.113003,0.269265
0.858,-0.114537,0.268848
0.859,-0.116069,0.268427
0.86,-0.117599,0.268002
0.861,-0.119128,0.267574
0.862,-0.120654,0.267141
0.863,-0.122179,0.266705
0.864,-0.123701,0.266265
0.865,-0.125222,0.265822
0.866,-0.12674,0.265375
0.867,-0.128257,0.264923
0.868,-0.129771,0.264469
0.869,-0.131284,0.26401
0.87,-0.132794,0.263548
0.871,-0.134302,0.263082
0.872,-0.135808,0.262612
0.873,-0.137312,0.262138
0.874,-0.138814,0.261661
0.875,-0.140313,0.26118
0.876,-0.14181,0.260696
0.877,-0.143305,0.260207
0.878,-0.144798,0.259715
0.879,-0.146288,0.259219
0.88,-0.147776,0.25872
0.881,-0.149262,0.258217
0.882,-0.150745,0.25771
0.883,-0.152226,0.257199
0.884,-0.153704,0.256685
0.885,-0.15518,0.256167
0.886,-0.156654,0.255646
0.887,-0.158125,0.255121
0.888,-0.159593,0.254592
0.889,-0.161059,0.254059
0.89,-0.162522,0.253523
0.891,-0.163983,0.252983
0.892,-0.165441,0.25244
0.893,-0.166896,0.251893
0.894,-0.168349,0.251343
0.895,-0.169799,0.250788
0.896,-0.171247,0.25023
0.897,-0.172691,0.249669
0.898,-0.174133,0.249104
0.899,-0.175572,0.248535
0.9,-0.177008,0.247963
0.901,-0.178442,0.247387
0.902,-0.179872,0.246808
0.903,-0.1813,0.246225
0.904,-0.182725,0.245639
0.905,-0.184146,0.245049
0.906,-0.185565,0.244455
0.907,-0.186981,0.243858
0.908,-0.188394,0.243258
0.909,-0.189804,0.242654
0.91,-0.191211,0.242046
0.911,-0.192615,0.241435
0.912,-0.194015,0.24082
0.913,-0.195413,0.240202
0.914,-0.196808,0.23958
0.915,-0.198199,0.238955
0.916,-0.199587,0.238327
0.917,-0.200972,0.237695
0.918,-0.202354,0.237059
0.919,-0.203732,0.23642
0.92,-0.205108,0.235778
0.921,-0.20648,0.235132
0.922,-0.207848,0.234483
0.923,-0.209214,0.23383
0.924,-0.210576,0.233174
0.925,-0.211934,0.232515
0.926,-0.21329,0.231852
0.927,-0.214642,0.231186
0.928,-0.21599,0.230516
0.929,-0.217335,0.229843
0.93,-0.218676,0.229167
0.931,-0.220014,0.228487
0.932,-0.221349,0.227804
0.933,-0.22268,0.227118
0.934,-0.224007,0.226428
0.935,-0.225331,0.225735
0.936,-0.226651,0.225039
0.937,-0.227968,0.224339
0.938,-0.229281,0.223636
0.939,-0.23059,0.22293
0.94,-0.231895,0.222221
0.941,-0.233197,0.221508
0.942,-0.234495,0.220792
0.943,-0.23579,0.220073
