Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,3.20E-06
Filter Frequency,2.00E+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1.5
Label,
TIME,CH1
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,4.995
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,4.995
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.93E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,4.995
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.92E-02,5.055
-2.91E-02,5.055
-2.91E-02,4.995
-2.91E-02,4.995
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,4.995
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.91E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,4.995
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,5.055
-2.90E-02,4.995
-2.90E-02,4.095
-2.90E-02,3.075
-2.90E-02,2.115
-2.90E-02,0.975
-2.90E-02,-0.045
-2.90E-02,-0.045
-2.89E-02,-0.045
-2.89E-02,0.015
-2.89E-02,-0.045
-2.89E-02,0.015
-2.89E-02,-0.045
-2.89E-02,0.015
-2.89E-02,-0.045
-2.89E-02,-0.045
-2.89E-02,-0.045
-2.89E-02,-0.045
